S-20D Kaldi 7 0.5652173913043478 S: 21, I: 2, D: 3
S-20D Google 8 0.5 S: 6, I: 0, D: 4
S-20D Kaldi 8 0.35 S: 4, I: 0, D: 3
S-20D Google 9 0.47435897435897434 S: 21, I: 2, D: 14
S-20D Kaldi 9 0.5512820512820513 S: 23, I: 11, D: 9
S-20D Google 10 0.52 S: 28, I: 2, D: 22
S-20D Kaldi 10 0.46 S: 33, I: 5, D: 8
S-20D Google 11 0.5211267605633803 S: 26, I: 1, D: 10
S-20D Kaldi 11 0.4225352112676056 S: 21, I: 4, D: 5
S-29A Google 0 0.30165289256198347 S: 27, I: 2, D: 44
S-29A Kaldi 0 0.15702479338842976 S: 23, I: 2, D: 13
S-29A Google 1 0.2972027972027972 S: 24, I: 1, D: 60
S-29A Kaldi 1 0.2097902097902098 S: 32, I: 3, D: 25
S-29A Google 2 0.4020618556701031 S: 19, I: 0, D: 98
S-29A Kaldi 2 0.1718213058419244 S: 20, I: 1, D: 29
S-29A Google 3 0.31210191082802546 S: 31, I: 1, D: 66
S-29A Kaldi 3 0.1751592356687898 S: 26, I: 2, D: 27
S-29A Google 4 0.3236434108527132 S: 41, I: 6, D: 120
S-29A Kaldi 4 0.1821705426356589 S: 42, I: 13, D: 39
S-29A Google 5 0.26765799256505574 S: 23, I: 2, D: 47
S-29A Kaldi 5 0.1449814126394052 S: 16, I: 3, D: 20
S-29A Google 6 0.3142857142857143 S: 0, I: 0, D: 11
S-29A Kaldi 6 0.2 S: 3, I: 0, D: 4
S-29A Google 7 0.27710843373493976 S: 6, I: 1, D: 16
S-29A Kaldi 7 0.24096385542168675 S: 12, I: 2, D: 6
S-29A Google 8 0.2054794520547945 S: 5, I: 0, D: 10
S-29A Kaldi 8 0.1780821917808219 S: 8, I: 3, D: 2
S-29A Google 9 0.5 S: 7, I: 1, D: 12
S-29A Kaldi 9 0.2 S: 3, I: 0, D: 5
S-29A Google 10 0.3235294117647059 S: 7, I: 1, D: 14
S-29A Kaldi 10 0.20588235294117646 S: 8, I: 0, D: 6
S-29A Google 11 0.26 S: 2, I: 0, D: 11
S-29A Kaldi 11 0.36 S: 9, I: 0, D: 9
S-14B Google 0 0.43567251461988304 S: 62, I: 2, D: 85
S-14B Kaldi 0 0.30994152046783624 S: 60, I: 14, D: 32
S-14B Google 1 0.4358974358974359 S: 62, I: 3, D: 88
S-14B Kaldi 1 0.32193732193732194 S: 59, I: 6, D: 48
S-14B Google 2 0.4 S: 64, I: 4, D: 62
S-14B Kaldi 2 0.28615384615384615 S: 58, I: 6, D: 29
S-14B Google 3 0.5602836879432624 S: 39, I: 0, D: 40
S-14B Kaldi 3 0.4397163120567376 S: 42, I: 5, D: 15
S-14B Google 4 0.45 S: 57, I: 5, D: 82
S-14B Kaldi 4 0.296875 S: 54, I: 10, D: 31
S-14B Google 5 0.3525641025641026 S: 70, I: 7, D: 88
S-14B Kaldi 5 0.2264957264957265 S: 61, I: 9, D: 36
S-14B Google 6 0.4264705882352941 S: 7, I: 0, D: 22
S-14B Kaldi 6 0.2647058823529412 S: 12, I: 0, D: 6
S-14B Google 7 0.32608695652173914 S: 6, I: 1, D: 23
S-14B Kaldi 7 0.358695652173913 S: 21, I: 3, D: 9
S-14B Google 8 0.3548387096774194 S: 2, I: 0, D: 9
S-14B Kaldi 8 0.2903225806451613 S: 4, I: 0, D: 5
S-32D Google 0 0.5277777777777778 S: 48, I: 9, D: 76
S-32D Kaldi 0 0.43253968253968256 S: 48, I: 25, D: 36
S-32D Google 1 0.4031746031746032 S: 36, I: 1, D: 90
S-32D Kaldi 1 0.2507936507936508 S: 40, I: 3, D: 36
S-32D Google 2 0.5019607843137255 S: 44, I: 0, D: 84
S-32D Kaldi 2 0.403921568627451 S: 55, I: 7, D: 41
S-32D Google 3 0.4370629370629371 S: 25, I: 1, D: 99
S-32D Kaldi 3 0.2097902097902098 S: 29, I: 3, D: 28
S-32D Google 4 0.5858585858585859 S: 31, I: 1, D: 142
S-32D Kaldi 4 0.2828282828282828 S: 37, I: 5, D: 42
S-32D Google 5 0.40350877192982454 S: 30, I: 0, D: 62
S-32D Kaldi 5 0.23684210526315788 S: 31, I: 3, D: 20
S-32D Google 6 0.6103896103896104 S: 11, I: 0, D: 36
S-32D Kaldi 6 0.36363636363636365 S: 9, I: 0, D: 19
S-32D Google 7 0.5092592592592593 S: 18, I: 0, D: 37
S-32D Kaldi 7 0.3055555555555556 S: 12, I: 0, D: 21
S-32D Google 8 0.46875 S: 5, I: 0, D: 10
S-32D Kaldi 8 0.28125 S: 6, I: 0, D: 3
S-32D Google 9 0.3902439024390244 S: 27, I: 1, D: 36
S-32D Kaldi 9 0.3231707317073171 S: 29, I: 3, D: 21
S-32D Google 10 0.8 S: 2, I: 1, D: 9
S-32D Kaldi 10 0.4 S: 4, I: 1, D: 1
S-32D Google 11 0.5 S: 12, I: 8, D: 9
S-32D Kaldi 11 0.27586206896551724 S: 6, I: 6, D: 4
S-22B Google 0 0.4434389140271493 S: 34, I: 2, D: 62
S-22B Kaldi 0 0.25339366515837103 S: 36, I: 4, D: 16
S-22B Google 1 0.34615384615384615 S: 29, I: 3, D: 49
S-22B Kaldi 1 0.21367521367521367 S: 36, I: 6, D: 8
S-22B Google 2 0.37628865979381443 S: 102, I: 5, D: 112
S-22B Kaldi 2 0.21649484536082475 S: 82, I: 14, D: 30
S-22B Google 3 0.38247011952191234 S: 30, I: 1, D: 65
S-22B Kaldi 3 0.19123505976095617 S: 26, I: 6, D: 16
S-22B Google 4 0.44281524926686217 S: 53, I: 1, D: 97
S-22B Kaldi 4 0.2316715542521994 S: 38, I: 4, D: 37
S-22B Google 5 0.40214477211796246 S: 51, I: 4, D: 95
S-22B Kaldi 5 0.1903485254691689 S: 46, I: 8, D: 17
S-22B Google 6 0.5151515151515151 S: 7, I: 0, D: 10
S-22B Kaldi 6 0.2727272727272727 S: 4, I: 0, D: 5
S-22B Google 7 0.2804878048780488 S: 23, I: 1, D: 22
S-22B Kaldi 7 0.18292682926829268 S: 21, I: 1, D: 8
S-22B Google 8 0.35555555555555557 S: 32, I: 1, D: 47
S-22B Kaldi 8 0.18666666666666668 S: 28, I: 2, D: 12
S-22B Google 9 0.2727272727272727 S: 3, I: 0, D: 9
S-22B Kaldi 9 0.13636363636363635 S: 3, I: 1, D: 2
S-22B Google 10 0.3118811881188119 S: 32, I: 1, D: 30
S-22B Kaldi 10 0.20297029702970298 S: 31, I: 2, D: 8
S-22B Google 11 0.4077669902912621 S: 41, I: 2, D: 41
S-22B Kaldi 11 0.1941747572815534 S: 27, I: 5, D: 8
S-4D Google 0 0.5594795539033457 S: 111, I: 9, D: 181
S-4D Kaldi 0 0.4107806691449814 S: 134, I: 12, D: 75
S-4D Google 1 0.5865800865800865 S: 110, I: 3, D: 158
S-4D Kaldi 1 0.42207792207792205 S: 114, I: 12, D: 69
S-4D Google 2 0.5498489425981873 S: 73, I: 3, D: 106
S-4D Kaldi 2 0.37462235649546827 S: 64, I: 5, D: 55
S-4D Google 3 0.5342465753424658 S: 89, I: 1, D: 105
S-4D Kaldi 3 0.3589041095890411 S: 61, I: 6, D: 64
S-4D Google 4 0.5305263157894737 S: 117, I: 4, D: 131
S-4D Kaldi 4 0.3684210526315789 S: 91, I: 9, D: 75
S-4D Google 5 0.5833333333333334 S: 119, I: 2, D: 138
S-4D Kaldi 5 0.3783783783783784 S: 98, I: 11, D: 59
S-8D Google 0 0.4275092936802974 S: 36, I: 3, D: 76
S-8D Kaldi 0 0.20817843866171004 S: 36, I: 5, D: 15
S-8D Google 1 0.33992094861660077 S: 32, I: 0, D: 54
S-8D Kaldi 1 0.17391304347826086 S: 29, I: 1, D: 14
